words,happiness,anger,sadness,fear,disgust
ikhlas,3.17,1.37,1.49,1.66,1.27
jahat,1.28,2.3,1.94,1.94,3.7
jaya,3.32,1.3,1.21,1.2,1.38
jijik,1.28,2.3,1.94,1.94,3.7
jorok,1.28,2.3,1.94,1.94,3.7
jujur,3.17,1.37,1.49,1.66,1.27
kalem,4.32,1.12,1.14,1.1,1.04
kasar,1.28,2.3,1.94,1.94,3.7
kasihan,1.05,3.5,3.91,3.47,2
keji,1.28,2.3,1.94,1.94,3.7
kematian,1.05,3.5,3.91,3.47,2
keras,1.65,2.22,1.75,2.21,1.4
kesedihan,1.05,3.5,3.91,3.47,2
khawatir,1.14,2.41,3.02,4.09,1.83
khusyuk,1.45,1.92,1.84,1.97,1.29
kikir,1.41,3.14,2.68,2.27,2.94
kondang,3.32,1.3,1.21,1.2,1.38
kotor,1.28,2.3,1.94,1.94,3.7
lancar,4.08,1.34,1.31,1.8,1.52
lelah,1.05,3.5,3.91,3.47,2
lelah,1.05,3.5,3.91,3.47,2
licik,1.28,2.3,1.94,1.94,3.7
